,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Score
70,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
71,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
72,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
73,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
74,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
75,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
76,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
77,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
78,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
79,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
80,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
81,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
82,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
83,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
84,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
